"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"2444","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript","Cloud Firestore","Firebase;Google Cloud","ASP.NET CORE;Express;Next.js;Node.js;React","Wholesale","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine","Employed"
"2445","Durban Campus","Data Science","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;Go;Groovy;Java;JavaScript;Python;TypeScript","H2;InfluxDB;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Managed Hosting","Angular;WordPress","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","GitHub Copilot;Mintlify;Replit Ghostwriter","Employed"
"2446","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;SQL","Microsoft SQL Server;Oracle","Microsoft Azure;OpenShift","ASP.NET;ASP.NET CORE","Higher Education","Bing AI;ChatGPT","AWS CodeWhisperer;Mintlify","Employed"
"2447","Cape Town Campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","C;C++;Go;Groovy;HTML/CSS;Java;Kotlin;Prolog;Python;SQL","Elasticsearch;H2;MongoDB;MySQL","Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure","Angular;Spring Boot","Legal Services","Bing AI;ChatGPT","AWS CodeWhisperer;Replit Ghostwriter","Employed"
"2448","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure;Netlify","ASP.NET;ASP.NET CORE;jQuery;Node.js;React","Advertising Services","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed"
"2449","Cape Town Campus","IT","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Python","Oracle","Amazon Web Services (AWS);Microsoft Azure","Flask","Insurance","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI","Employed"
"2450","Nelspruit Campus","Computer Science","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;PHP;Python;SQL;TypeScript;VBA","MariaDB;Microsoft SQL Server;MongoDB;MySQL;Redis","Digital Ocean;Vercel","Express;Node.js;Svelte","Retail and Consumer Services","ChatGPT;Phind;You.com","Codeium","Employed"
"2451","Nelspruit Campus","Data Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","SQLite","Amazon Web Services (AWS);Firebase","Angular","Retail and Consumer Services","ChatGPT;Phind;You.com","GitHub Copilot;Synk Code;Whispr AI","Employed"
"2452","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Lua;PHP;Python;SQL;TypeScript","MariaDB;MySQL;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud","Laravel;React;WordPress","Oil & Gas","ChatGPT;WolframAlpha","Codeium","Employed"
"2453","Cape Town Campus","IT","I am a developer by profession","Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Groovy","Oracle","Oracle Cloud Infrastructure (OCI)","WordPress","Advertising Services","ChatGPT","GitHub Copilot;Mintlify;Replit Ghostwriter","Independent contractor"
"2454","Cape Town Campus","Data Science","I am a developer by profession","Other (please specify):","Some college/university study without earning a degree","C#;JavaScript;PowerShell;TypeScript","Elasticsearch;Microsoft SQL Server;PostgreSQL","Google Cloud;Linode, now Akamai;Microsoft Azure;Netlify","Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;Express;jQuery;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Codeium;GitHub Copilot;Tabnine","Employed"
"2455","Durban Campus","Data Science","I am a developer by profession","Blockchain","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Apex;Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;Rust;Solidity;SQL;TypeScript","Cosmos DB;Couch DB;InfluxDB;MongoDB;MySQL;Oracle;Redis","Digital Ocean;Heroku;Microsoft Azure;Oracle Cloud Infrastructure (OCI)","AngularJS;Drupal;Express;Flask;jQuery;Node.js;React;Spring Boot;Svelte;WordPress","Legal Services","Bing AI;ChatGPT","Replit Ghostwriter","Independent contractor"
"2456","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;Groovy;HTML/CSS;Java;JavaScript;Python;SQL","Dynamodb;Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis","Amazon Web Services (AWS);OpenShift;OpenStack","React;Spring Boot","Healthcare","Bing AI;ChatGPT;Google Bard AI;WolframAlpha","GitHub Copilot;Mintlify","Employed"
"2457","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net)","Microsoft Access;Microsoft SQL Server;PostgreSQL;SQLite","Hetzner","Angular;ASP.NET CORE;React","Financial Services","ChatGPT","Tabnine","Independent contractor"
"2458","Cape Town Campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;JavaScript","InfluxDB;MongoDB;Redis","Firebase;Heroku;Netlify;Render;Vercel","Express;Node.js;Vue.js","Healthcare","Bing AI;ChatGPT","Adrenaline;Mintlify","Employed"
"2459","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","Microsoft SQL Server;SQLite","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Blazor","Other","Bing AI;ChatGPT","GitHub Copilot;Rubber Duck.AI","Employed"
"2460","Cape Town Campus","IT","I am a developer by profession","DevOps specialist","Some college/university study without earning a degree","C#;Go;Python","Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Microsoft Azure","ASP.NET;ASP.NET CORE;Blazor","Retail and Consumer Services","ChatGPT","Favorable","Employed"
"2461","Port Elizabeth Campus","IT","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;PHP","MySQL","Amazon Web Services (AWS)","NestJS;React","Oil & Gas","ChatGPT","GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed"
"2462","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Go;JavaScript;Kotlin;PHP;SQL;TypeScript","Cosmos DB;Elasticsearch;MariaDB;Microsoft SQL Server;PostgreSQL;SQLite","Cloudflare;Digital Ocean;Microsoft Azure;Scaleway","AngularJS;ASP.NET CORE;Blazor;Laravel;Node.js;React","Higher Education","WolframAlpha","Codeium;Synk Code;Whispr AI","Employed"
"2463","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++;HTML/CSS;JavaScript;Python;Solidity;SQL","Cassandra;MongoDB;MySQL;SQLite","Amazon Web Services (AWS);Microsoft Azure;Netlify;Vultr","ASP.NET;ASP.NET CORE;Blazor;Django;Express;jQuery;Node.js;React;Remix;WordPress","Other","Bing AI;ChatGPT","Mintlify;Synk Code","Employed"
"2464","Cape Town Campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Elixir;HTML/CSS;JavaScript;Ruby;SQL","PostgreSQL","Digital Ocean;Netlify","Gatsby;Phoenix;React;Ruby on Rails","Oil & Gas","ChatGPT","Codeium;Tabnine","Employed"
"2465","Port Elizabeth Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript","MySQL;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean","Angular;AngularJS;Django;FastAPI;Flask;jQuery;Laravel;Next.js;Node.js;React;Ruby on Rails;Vue.js","Insurance","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed"
"2466","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;Kotlin;Ruby;SQL;TypeScript","MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Heroku","jQuery;NestJS;Next.js;Node.js;React;Ruby on Rails;Svelte","Advertising Services","ChatGPT","Mintlify;Tabnine","Employed"
"2467","Pretoria Campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;JavaScript;TypeScript","BigQuery;Couch DB;Couchbase;Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","ASP.NET;ASP.NET CORE;Express;jQuery;React;Spring Boot;Vue.js;WordPress","Healthcare","ChatGPT;WolframAlpha","Adrenaline;GitHub Copilot;Tabnine","Independent contractor"
"2468","Port Elizabeth Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C;C#;Python","PostgreSQL","Digital Ocean","Spring Boot","Oil & Gas","ChatGPT;WolframAlpha","Adrenaline;AWS CodeWhisperer;GitHub Copilot","Student"
"2469","Cape Town Campus","IT","I am a developer by profession","Developer, full-stack","Something else","HTML/CSS;JavaScript;Python;Ruby;SQL","PostgreSQL","Amazon Web Services (AWS);Heroku;Linode, now Akamai","Django;FastAPI;React;Ruby on Rails","Oil & Gas","ChatGPT","Rubber Duck.AI;Synk Code","Employed"
"2470","Nelspruit Campus","Data Science","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript","BigQuery;Dynamodb;Microsoft SQL Server;PostgreSQL;Snowflake;SQLite","Amazon Web Services (AWS);Google Cloud","FastAPI","Wholesale","ChatGPT","Synk Code;Tabnine;Whispr AI","Employed"
"2471","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL","Couchbase;MongoDB;PostgreSQL","Amazon Web Services (AWS)","Angular;Next.js;Node.js;Spring Boot;Vue.js","Wholesale","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed"
"2472","Cape Town Campus","Data Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","MongoDB;PostgreSQL","Amazon Web Services (AWS);Heroku;Microsoft Azure;Vercel","ASP.NET;ASP.NET CORE;Express;Next.js;Node.js;React;WordPress","Financial Services","ChatGPT","AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine","Employed"
"2473","Cape Town Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;C++;GDScript;Go;HTML/CSS;Java;Python;SQL;Swift;TypeScript","Couchbase","Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure;OpenShift","ASP.NET;ASP.NET CORE;Blazor","Manufacturing, Transportation, or Supply Chain","ChatGPT;You.com","GitHub Copilot;Mintlify;Replit Ghostwriter","Employed"
"2474","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;Swift;TypeScript","Cloud Firestore;Dynamodb;Firebase Realtime Database;MySQL;Redis;Supabase","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Managed Hosting;Netlify;Vercel","Angular;AngularJS;ASP.NET;ASP.NET CORE;Gatsby;Next.js;Node.js;React;Remix;WordPress","Advertising Services","Bing AI;ChatGPT;Google Bard AI","Rubber Duck.AI;Tabnine","Employed"
"2475","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL","Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","ASP.NET;ASP.NET CORE;Blazor;Django;FastAPI;jQuery","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed"
"2476","Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Apex;Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Perl;PHP;PowerShell;Python;VBA;Visual Basic (.Net)","BigQuery;Cassandra;Cloud Firestore;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL","Google Cloud;Oracle Cloud Infrastructure (OCI);VMware","ASP.NET;WordPress","Retail and Consumer Services","ChatGPT","Codeium;GitHub Copilot;Tabnine","Employed"
"2477","Nelspruit Campus","Data Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;Python","MariaDB;MySQL;SQLite","Amazon Web Services (AWS);Cloudflare;Fly.io;Heroku","Django;jQuery;Laravel;React;WordPress","Insurance","ChatGPT;WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Employed"
"2478","Port Elizabeth Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Research & Development role","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Scala;SQL;TypeScript","Cassandra;Couch DB;Couchbase;Dynamodb;Elasticsearch;H2;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;IBM Cloud Or Watson;Microsoft Azure;Netlify;OpenShift;Oracle Cloud Infrastructure (OCI)","Angular;Django;Node.js;React;Spring Boot","Higher Education","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed"
"2479","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Elixir;HTML/CSS;JavaScript;Rust;SQL","Microsoft SQL Server;SQLite","Microsoft Azure","ASP.NET;Blazor;Phoenix;Qwik;React;Solid.js;Svelte","Oil & Gas","ChatGPT","AWS CodeWhisperer;Synk Code","Employed"
"2480","Pretoria Campus","Data Science","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;C++;Dart;Java;JavaScript;PowerShell;Python;Rust","MongoDB;Oracle","Amazon Web Services (AWS);Cloudflare;Oracle Cloud Infrastructure (OCI);Vultr","ASP.NET;ASP.NET CORE","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Mintlify","Employed"
"2481","Cape Town Campus","Data Science","I am learning to code","Database administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;PowerShell;SQL","MySQL;Oracle","Oracle Cloud Infrastructure (OCI)","WordPress","Wholesale","ChatGPT","Mintlify;Tabnine","Employed"
"2482","Cape Town Campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;Go;Java;JavaScript;Python","Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Google Cloud;Managed Hosting","Django;FastAPI;Flask;Next.js;Node.js;Spring Boot","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline;Tabnine","Employed"
"2483","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;HTML/CSS;JavaScript","MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean","Node.js;React","Legal Services","ChatGPT","GitHub Copilot;Rubber Duck.AI","Employed"
"2484","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;TypeScript","MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean","Django;Flask;jQuery;Node.js;Nuxt.js;React;Ruby on Rails;Vue.js;WordPress","Oil & Gas","ChatGPT","AWS CodeWhisperer;Synk Code","Employed"
"2485","Nelspruit Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript;PHP;SQL","Cassandra;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite","Firebase;Google Cloud;Hetzner","jQuery;Laravel;Node.js;Spring Boot;Symfony;Vue.js","Advertising Services","Bing AI;ChatGPT;Google Bard AI","GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed"
"2486","Cape Town Campus","IT","I am a developer by profession","Data or business analyst","Some college/university study without earning a degree","HTML/CSS;Java;JavaScript","H2;Microsoft SQL Server;MongoDB;MySQL;Oracle;Solr","Amazon Web Services (AWS);Microsoft Azure","Angular;React;Spring Boot;Vue.js;WordPress","Oil & Gas","ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed"
"2487","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL","Microsoft SQL Server;Oracle","Microsoft Azure","ASP.NET CORE;Blazor;jQuery","Advertising Services","ChatGPT","Synk Code","Employed"
"2488","Cape Town Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;TypeScript","MongoDB","Netlify","Node.js","Healthcare","ChatGPT","Tabnine","Employed"
"2489","Port Elizabeth Campus","IT","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript","MongoDB","Amazon Web Services (AWS)","Angular","Higher Education","ChatGPT","Mintlify","Employed"
"2490","Cape Town Campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;Python","MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS)","FastAPI;Flask;Spring Boot","Advertising Services","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed"
"2491","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Primary/elementary school","C#;HTML/CSS;JavaScript;PowerShell;Rust;TypeScript","Microsoft SQL Server","Amazon Web Services (AWS);Microsoft Azure","ASP.NET CORE;Blazor","Financial Services","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed"
"2492","Nelspruit Campus","IT","I am a developer by profession","Student","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;PowerShell;Python;SQL","MySQL;PostgreSQL","Heroku;Netlify;Render;Vercel","Django;Flask","Healthcare","ChatGPT","AWS CodeWhisperer;Mintlify","Not employed"
"2493","Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Security professional","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL","MariaDB;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Hetzner;OVH","Laravel","Other","ChatGPT;WolframAlpha","GitHub Copilot;Rubber Duck.AI;Tabnine","Employed"
"2494","Pretoria Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript","Microsoft SQL Server;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Linode, now Akamai;Oracle Cloud Infrastructure (OCI);Vercel;Vultr","ASP.NET CORE;Lit;Next.js;React","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","AWS CodeWhisperer;Mintlify","Employed"
"2495","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript","Clickhouse;Cosmos DB;MongoDB;PostgreSQL","Cloudflare;Google Cloud;Microsoft Azure","ASP.NET;Express;FastAPI;Flask;React","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot","Independent contractor"
"2496","Cape Town Campus","Computer Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;SQL","Elasticsearch;MySQL;Oracle;Redis","Oracle Cloud Infrastructure (OCI)","jQuery;Node.js;Vue.js","Financial Services","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine","Employed"
"2497","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","Bash/Shell (all shells);C;C#;Java;JavaScript","IBM DB2;MariaDB;SQLite","Amazon Web Services (AWS);IBM Cloud Or Watson","Spring Boot","Financial Services","ChatGPT","GitHub Copilot;Mintlify","Employed"
"2498","Port Elizabeth Campus","Data Science","I am a developer by profession","Engineer, data","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript","DuckDB;Dynamodb;Elasticsearch;MongoDB;MySQL;Neo4J;PostgreSQL;Redis;Snowflake;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud","Django;FastAPI;Flask;jQuery;Next.js;Vue.js","Other","ChatGPT;Google Bard AI;WolframAlpha;You.com","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed"
"2499","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript","Microsoft SQL Server;MySQL;PostgreSQL","Amazon Web Services (AWS);Google Cloud;Microsoft Azure;OpenShift;VMware","jQuery;Spring Boot","Financial Services","ChatGPT","Adrenaline;AWS CodeWhisperer","Employed"
"2500","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Ruby;SQL","MariaDB;Microsoft SQL Server;MySQL","Digital Ocean","Express;Ruby on Rails;Vue.js","Legal Services","Bing AI;ChatGPT","GitHub Copilot;Mintlify","Employed"
"2501","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;Java;Kotlin;Python;TypeScript","Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite;Supabase","Amazon Web Services (AWS);Google Cloud;Heroku;Microsoft Azure;Vercel","Angular;ASP.NET;ASP.NET CORE;Django;Express;jQuery;Next.js;Node.js;React;Spring Boot","Manufacturing, Transportation, or Supply Chain","ChatGPT","Mintlify;Synk Code","Employed"
"2502","Pretoria Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Ruby;SQL;TypeScript","BigQuery;MySQL;PostgreSQL;SQLite","Google Cloud","Ruby on Rails;Vue.js","Oil & Gas","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed"
"2503","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;R;Solidity;SQL;TypeScript","Cosmos DB;Elasticsearch;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite","Microsoft Azure","ASP.NET;ASP.NET CORE;Blazor;Express;Flask;jQuery;Next.js;Node.js;React;WordPress","Wholesale","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed"
"2504","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;SQL","MariaDB;MySQL;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud","jQuery;Laravel;Node.js;React;Vue.js;WordPress","Insurance","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine","Employed"
"2505","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net)","BigQuery;Cloud Firestore;Dynamodb;Elasticsearch;Firebase Realtime Database;H2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Vercel","Angular;AngularJS;CodeIgniter;Express;Fastify;jQuery;Laravel;NestJS;Next.js;Node.js;React;Spring Boot;Vue.js","Financial Services","ChatGPT","Adrenaline;GitHub Copilot;Mintlify;Replit Ghostwriter;Synk Code","Employed"
"2506","Durban Campus","Data Science","I am a developer by profession","Developer, mobile","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Dart;HTML/CSS;Java;JavaScript;MATLAB;PHP;PowerShell;Python;R;SQL","Cloud Firestore;Firebase Realtime Database;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Microsoft Azure;Netlify;Vercel","Django;Express;jQuery;Node.js","Healthcare","ChatGPT","Favorable","Independent contractor"
"2507","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","JavaScript;Python;TypeScript","Cassandra;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite","Amazon Web Services (AWS);Firebase","Flask;Node.js;React","Financial Services","ChatGPT;You.com","Codeium;Synk Code;Whispr AI","Employed"
"2508","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;TypeScript","Firebase Realtime Database;MySQL;Redis","Amazon Web Services (AWS);Firebase","Angular;Gatsby;React;Symfony","Financial Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine","Employed"
